floc_ID,area,edgewidth
229,116.4225,3.303967024680193
230,102.88499999999999,6.382680125478038
231,234.65,2.99993140836308
232,14.44,5.936772851830711
233,217.5025,1.819424126865358
234,14.44,4.478012822777344
235,14.44,7.792657380405458
236,57.76,3.2412788141247173
237,175.98749999999998,3.597026045786048
238,1724.6775,6.773058021928615
239,57.76,2.2804215071722473
240,44.2225,2.5415940799658605
241,57.76,5.21520801714074
242,190.42749999999998,2.2815839733023306
243,73.10249999999999,2.733437284028492
244,28.88,6.329010496567694
245,421.4675,10.274990001036649
246,44.2225,4.081825187601968
247,146.20499999999998,4.020475042247419
248,189.525,5.130438109751633
249,539.6949999999999,4.120648400202376
250,86.64,7.041366294454128
251,59.565,5.5520935281577275
252,1020.7275,2.4536934907314416
253,57.76,9.080434370055302
254,207.575,3.266173612334411
255,86.64,10.194526040308908
256,57.76,2.414005319160008
257,86.64,2.5209831936814346
258,103.7875,3.378944259441688
259,57.76,2.3076720964632065
260,86.64,9.670244425756698
261,539.6949999999999,3.478642129698276
262,44.2225,4.972806647908011
263,44.2225,2.5006643465904856
264,59.565,3.9240728225403134
265,44.2225,7.0812549355865055
266,14.44,10.376597192934678
267,73.10249999999999,3.730579844568681
268,14.44,6.9870078482765345
269,86.64,3.5857737832005525
270,146.20499999999998,2.3731045569119247
271,382.65999999999997,2.65290572571569
272,44.2225,5.5626495127844295
273,101.9825,3.398103889861572
274,59.565,4.135073537204698
275,44.2225,3.7376437559266846
276,44.2225,7.777013735939137
277,73.10249999999999,3.8813004878797424
278,392.5875,6.840853309166732
279,421.4675,2.4106811924968437
280,73.10249999999999,2.144037499210295
281,28.88,3.257890606396333
282,144.4,2.7517901996298697
283,57.76,2.8015664465449315
284,14.44,4.81398197395454
285,101.9825,3.443924452350848
286,14.44,8.404854531789198
287,28.88,2.5690684373349146
288,57.76,3.258938221248985
289,28.88,5.630516336736418
290,235.55249999999998,12.81961588807069
291,175.98749999999998,11.18372249680208
292,57.76,3.861490588049012
293,73.10249999999999,4.789131409032599
294,57.76,3.1194315310808887
295,57.76,4.1522432253696815
296,28.88,4.113633062730503
297,145.3025,5.348771465944873
298,204.8675,4.500279591153432
299,57.76,2.4721850676739408
300,14.44,4.8936606804389395
301,14.44,4.56143061348175
302,14.44,6.220812716833274
303,146.20499999999998,2.5931741793105587
304,14.44,4.5016270207691775
305,28.88,7.231720274367239
306,86.64,8.111066733031308
307,28.88,3.279527826826956
308,14.44,6.8852493813234865
309,175.98749999999998,2.8111772637806567
310,1320.3574999999998,8.280403815798161
311,86.64,2.789881655578288
312,115.52,3.8697248068263894
313,14.44,6.913924611010607
314,319.485,6.047729473175869
315,175.98749999999998,1.961790271681316
316,308.655,2.8532740373750967
317,28.88,3.6855736937864423
318,246.3825,2.366773838105874
319,57.76,4.323259933421084
320,57.76,4.234545463309378
321,115.52,4.19264449526198
322,189.525,2.8351150462240073
323,73.10249999999999,2.460543023269318
324,28.88,4.490562298825658
325,1052.315,3.5374459379103977
326,1175.9575,3.7827627961372223
327,248.1875,2.6328239003207883
328,57.76,3.424414468229264
329,44.2225,5.265933937579992
330,291.5075,3.083476897901313
331,28.88,3.577632585426894
332,102.88499999999999,2.1324505585263696
333,785.175,8.185540052683159
334,963.87,4.628706967447148
335,28.88,5.9717248632113185
336,28.88,4.39587181895083
337,86.64,3.7153642025990936
338,28.88,6.631235988348053
339,14.44,4.402801275436694
340,28.88,6.306510196302716
341,291.5075,2.406271411527658
342,14.44,13.984357052905999
343,103.7875,2.6837118541584757
344,115.52,3.2076304505011577
345,176.89,3.1155514292182187
346,28.88,4.638906827066497
347,146.20499999999998,2.4664649112495516
348,147.1075,3.1517768899681964
349,131.765,4.149658628784817
350,28.88,4.3205409763831994
351,1218.375,8.262391063884559
352,57.76,3.321156793730241
353,14.44,5.842336666738875
354,101.9825,3.2058584742927003
355,146.20499999999998,3.1403047875735055
356,367.3175,2.9528829323072014
357,115.52,4.10542723436254
358,423.2725,4.171296756358164
359,14.44,5.516372737558081
360,14.44,4.158595723492342
361,73.10249999999999,3.760083694126369
362,44.2225,6.339041900054579
363,86.64,3.265902366663288
364,14.44,4.987883140240905
365,44.2225,8.048962399042756
366,526.1575,8.445627633076366
367,45.125,9.681776845753413
368,14.44,6.304355555902594
369,175.085,3.9127897434963215
